x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight,naturalHeight,waterHeight,flowX,flowY
53248,-98304,214.83337,0.98218465,0.034115575,0.965301,0.00058346987,0.08486803,-48.000004,918.0015,214.83337,214.83337,0,0,0
57344,-98304,4.0413895,0.86533546,0.021835404,0.9589761,0.019188523,0.06405185,-182.37411,724.84546,4.0413895,4.0413895,0,0,0
61440,-98304,-207.70724,0.7004756,0.010856051,0.8773367,0.11180729,0.1618498,-439.53522,537.541,-207.70724,-207.70724,0,0,0
65536,-98304,-348.909,0.54047865,0.000717423,0.5723398,0.42694283,0.16602668,-690.538,292.0018,-348.909,-348.909,0,0,0
69632,-98304,-442.3067,0.4157466,0,0,1,0.08534496,-682.50757,-137.87541,-442.3067,-442.3067,0,0,0
73728,-98304,-766.5508,0.3389722,0,0,1,0.035558388,-943.70715,-516.5651,-766.5508,-766.5508,0,0,0
77824,-98304,-784.35516,0.31370392,0,0.338696,0.661304,0.11083137,-1042.9895,-417.5092,-784.35516,-784.35516,0,0,0
81920,-98304,-876.30597,0.32683355,0,1,0,0.038051326,-1002.8609,-748.1274,-876.30597,-876.30597,0,0,0
86016,-98304,-810.14636,0.3637393,0,1,0,0.04164345,-937.8856,-681.9874,-810.14636,-810.14636,0,0,0
90112,-98304,-705.7622,0.42280415,0,1,0,0.041831918,-834.2336,-578.67487,-705.7622,-705.7622,0,0,0
94208,-98304,-585.3485,0.5016891,1.964351E-07,0.9999998,0,0.04209202,-710.4935,-462.67764,-585.3485,-585.3485,0,0,0
98304,-98304,-422.71555,0.5962205,0.007510915,0.9924891,0,0.05128865,-552.69135,-248.24437,-422.71555,-422.71555,0,0,0
102400,-98304,-178.95386,0.69973016,0.23835425,0.76164573,0,0.11398798,-422.1632,386.32587,-178.95386,-178.95386,0,0,0
106496,-98304,503.57788,0.8030076,0.65663975,0.34336025,0,0.17279916,-157.58138,2436.8154,503.57788,503.57788,0,0,0
110592,-98304,1295.9001,0.8949057,0.8860342,0.11396581,0,0.17342308,-48.000004,4067.0503,1295.9001,1295.9001,0,0,0
114688,-98304,2306.2478,0.9635201,0.9848073,0.0151926875,0,0.4195762,-48.000004,4329.2783,2306.2478,2306.2478,0,0,0
118784,-98304,2005.6646,0.9977793,0.999941,5.90086E-05,0,0.017380731,-48.000004,4249.3706,2005.6646,2005.6646,0,0,0
122880,-98304,2197.2178,1,1,0,0,0.0022829617,-48.000004,4152.2163,2197.2178,2197.2178,0,0,0
126976,-98304,2280.546,1,1,0,0,0.19802622,-48.000004,4812.386,2280.546,2280.546,0,0,0
131072,-98304,2661.6218,1,1,0,0,0.40857995,-48.000004,4248.53,2661.6218,2662.8052,0,0,0
-131072,-94208,47.694706,1,0,1,0,0.11401209,-48.000004,146.17406,47.694706,139.0987,0,0,0
-126976,-94208,104.70421,1,0,1,0,0.065554805,-48.000004,122.31674,104.70421,115.24022,0,0,0
-122880,-94208,282.49258,1,0.27667418,0.721386,0.0019398332,0.4702216,-48.000004,3414.4036,282.49258,1412.9299,0,0,0
-118784,-94208,2555.605,1,1,0,0,0.145449,-48.000004,3761.5984,2555.605,2573.3433,0,0,0
-114688,-94208,2026.8604,1,1,0,0,0.28294888,-48.000004,3542.1555,2026.8604,2026.8604,0,0,0
-110592,-94208,1842.8875,1,1,0,0,0.1150522,-48.000004,3868.035,1842.8875,1842.8875,0,0,0
-106496,-94208,2937.434,1,1,0,0,0.89102274,-48.000004,4360.488,2937.434,2937.434,0,0,0
-102400,-94208,1179.9927,0.9139971,0.33645958,0.6635404,0,1.2709161,-48.000004,3912.3708,1179.9927,1179.9927,0,0,0
-98304,-94208,-396.6477,0.618109,0,1,0,0.12231018,-515.1663,-284.73648,-396.6477,-396.6477,0,0,0
-94208,-94208,-907.2603,0.30689532,0,1,0,0.12215782,-1034.0509,-778.0985,-907.2603,-907.2603,0,0,0
-90112,-94208,-1321.4585,0.096768625,0,1,0,0.083971485,-1420.3358,-1210.5292,-1321.4585,-1321.4585,0,0,0
-86016,-94208,-1542.667,0.00980386,0,0,1,0.04479326,-1599.07,-1450.309,-1542.667,-1542.667,0,0,0
-81920,-94208,-1623.2268,0,0,0,1,0.015283719,-1657.3062,-1585.8146,-1623.2268,-1623.2268,0,0,0
-77824,-94208,-1644.175,0,0,0,1,0.012278277,-1678.4977,-1610.2444,-1644.175,-1644.175,0,0,0
-73728,-94208,-1628.9724,0,0,0,1,0.01406031,-1663.1183,-1593.8346,-1628.9724,-1628.9724,0,0,0
-69632,-94208,-1578.4866,0.0027252203,0,0,1,0.028345758,-1618.1548,-1506.5366,-1578.4866,-1578.4866,0,0,0
-65536,-94208,-1400.5962,0.05022609,0,0,1,0.07223262,-1505.4056,-1265.5914,-1400.5962,-1400.5962,0,0,0
-61440,-94208,-1052.4065,0.18469808,0,0,1,0.10935765,-1212.5615,-837.87067,-1052.4065,-1052.4065,0,0,0
-57344,-94208,-485.7281,0.41310778,0,0,1,0.19957876,-706.13104,-197.73883,-485.7281,-485.7281,0,0,0
-53248,-94208,-268.62515,0.693958,0,0.9134687,0.08653128,0.0774528,-446.74316,189.09135,-268.62515,-268.62515,0,0,0
-49152,-94208,403.39648,0.9322942,0,0.2260657,0.7739343,0.33730286,-80.27934,822.35004,403.39648,403.39648,0,0,0
-45056,-94208,638.21716,1,1.3368217E-09,0,1,0.0019304262,-48.000004,899.02,638.21716,638.21716,0,0,0
-40960,-94208,1046.4303,1,0.14105949,0,0.8589405,0.15060796,-48.000004,2087.5615,1046.4303,1046.4303,0,0,0
-36864,-94208,1312.8809,1,0.4614194,0,0.5385806,0.03137384,-48.000004,3330.5496,1312.8809,1312.8809,0,0,0
-32768,-94208,595.9214,1,0.68625927,0.31374073,0,0.030701073,-48.000004,3398.4036,595.9214,595.9214,0,0,0
-28672,-94208,2090.1536,1,0.9937036,0.0062963953,9.313226E-10,0.6860704,-48.000004,3630.8083,2090.1536,2090.1536,0,0,0
-24576,-94208,1881.0764,1,1,0,0,0.5921286,-48.000004,3341.2473,1881.0764,1954.8445,0,0,0
-20480,-94208,412.55963,1,1,0,0,0.49471185,-48.000004,3349.3862,412.55963,875.03467,0,0,0
-16384,-94208,272.93347,1,1,0,0,0.44890872,-48.000004,3464.1333,272.93347,1005.6921,0,0,0
-12288,-94208,1695.1608,1,1,0,0,0.6129201,-48.000004,4317.33,1695.1608,1695.1608,0,0,0
-8192,-94208,1210.4263,1,0.3167987,0,0.6832013,0.57059604,-48.000004,3775.5874,1210.4263,1210.4263,0,0,0
-4096,-94208,300.06638,1,0.007967708,0.24699423,0.74503803,0.4358641,-48.000004,1648.5244,300.06638,645.81213,0,0,0
0,-94208,1.2526515,1,0.00016085396,0.99761397,0.0022251606,0.024282143,-48.000004,502.78256,1.2526515,126.66824,0,0,0
4096,-94208,338.0138,1,0.028455304,0.9210812,0.050463498,0.24963258,-48.000004,1649.2971,338.0138,338.0138,0,0,0
8192,-94208,2854.6462,1,0.9013732,0.058653597,0.039973196,0.93062997,-48.000004,4722.428,2854.6462,2861.5083,0,0,0
12288,-94208,3115.0989,1,1,0,0,0.10628325,-48.000004,3475.7263,3115.0989,3122.9866,0,0,0
16384,-94208,1252.679,1,1,0,0,0.5813647,-48.000004,3516.5059,1252.679,1673.3723,0,0,0
20480,-94208,312.5498,1,1,0,0,0.49514103,-48.000004,3248.322,312.5498,1609.868,0,0,0
24576,-94208,1665.698,1,1,0,0,0.17592691,-48.000004,3982.954,1665.698,1687.3561,0,0,0
28672,-94208,1709.9924,1,1,0,0,0.051142853,-48.000004,3723.8965,1709.9924,1709.9924,0,0,0
32768,-94208,1743.9174,1,0.8087885,0.19104442,0.00016710162,0.111394,-48.000004,4979.851,1743.9174,1743.9174,0,0,0
36864,-94208,1256.852,1,0.35064068,0.25759488,0.39176446,0.042164057,-48.000004,4285.658,1256.852,1256.852,0,0,0
40960,-94208,1238.0941,1,0.33036053,0,0.66963947,0.007821207,-48.000004,4037.1975,1238.0941,1238.0941,0,0,0
45056,-94208,893.2113,1,0.29128066,0.27882123,0.42989814,0.1969754,-48.000004,3358.938,893.2113,893.2113,0,0,0
49152,-94208,569.5688,1,0.2482303,0.7517697,0,0.04216352,-48.000004,1831.1979,569.5688,569.5688,0,0,0
53248,-94208,472.73035,0.9817736,0.21699424,0.7830058,0,0.036708575,-48.000004,1365.5242,472.73035,472.73035,0,0,0
57344,-94208,151.45804,0.8478512,0.16814654,0.83185345,0,0.12008362,-200.32495,866.60614,151.45804,151.45804,0,0,0
61440,-94208,-3.5188293,0.6591321,0.07045458,0,0.9295454,0.19638959,-409.21234,494.38528,-3.5188293,-3.5188293,0,0,0
65536,-94208,-380.34766,0.4800064,0,0,1,0.043810245,-590.65894,-65.77592,-380.34766,-380.34766,0,0,0
69632,-94208,-594.5667,0.3446708,0,0,1,0.10577164,-810.6035,-321.76648,-594.5667,-594.5667,0,0,0
73728,-94208,-851.48975,0.26409945,0,0,1,0.046094924,-1035.5013,-604.8055,-851.48975,-851.48975,0,0,0
77824,-94208,-1006.3241,0.23818181,0,0.5378251,0.4621749,0.079191536,-1178.2703,-708.8857,-1006.3241,-1006.3241,0,0,0
81920,-94208,-1015.46826,0.25157678,0,1,0,0.032432802,-1136.7322,-889.3679,-1015.46826,-1015.46826,0,0,0
86016,-94208,-943.8097,0.28969443,0,1,0,0.03766535,-1068.5348,-816.17194,-943.8097,-943.8097,0,0,0
