startX,startY,startZ,endX,endY,endZ,startRadius,endRadius,startDepth,endDepth
-20341.992,-67814.33,0,-20240.951,-67965.516,0,275.25012,274.5006,51.515007,52.530457
-20414.395,-67635.484,0,-20341.992,-67814.33,0,275.66562,275.25012,51.4977,51.515007
-20476.072,-67446.266,0,-20414.395,-67635.484,0,275.82068,275.66562,52.177475,51.4977
-20549.459,-67268.336,0,-20476.072,-67446.266,0,275.80136,275.82068,53.691925,52.177475
-20650.447,-67117.02,0,-20549.459,-67268.336,0,275.68005,275.80136,56.458923,53.691925
-20781.156,-66994.41,0,-20650.447,-67117.02,0,275.49396,275.68005,60.68198,56.458923
-20930.332,-66889.61,0,-20781.156,-66994.41,0,275.24408,275.49396,65.98771,60.68198
-21081.008,-66786.28,0,-20930.332,-66889.61,0,274.9138,275.24408,71.57083,65.98771
-21220.734,-66672.414,0,-21081.008,-66786.28,0,274.49222,274.9138,76.75664,71.57083
-21348.393,-66546.945,0,-21220.734,-66672.414,0,273.9968,274.49222,81.429565,76.75664
-21427.623,-66447.82,0,-21348.393,-66546.945,0,272.99414,273.9968,84.40976,81.429565
-21486.826,-66340.2,0,-21427.623,-66447.82,0,271.93503,272.99414,87.18439,84.40976
-21534.469,-66225.78,0,-21486.826,-66340.2,0,270.83478,271.93503,90.138214,87.18439
-21578.969,-66106.25,0,-21534.469,-66225.78,0,269.71124,270.83478,93.45088,90.138214
-21623.992,-65982.734,0,-21578.969,-66106.25,0,268.5764,269.71124,97.09679,93.45088
-21666.355,-65855.38,0,-21623.992,-65982.734,0,267.42752,268.5764,100.89236,97.09679
-21697.893,-65723.79,0,-21666.355,-65855.38,0,266.24475,267.42752,104.58915,100.89236
-21710.357,-65587.484,0,-21697.893,-65723.79,0,264.99652,266.24475,107.9625,104.58915
-21700.629,-65446.68,0,-21710.357,-65587.484,0,263.61224,264.99652,110.83193,107.9625
-21673.27,-65302.58,0,-21700.629,-65446.68,0,262.1512,263.61224,113.077286,110.83193
-21638.96,-65157.17,0,-21673.27,-65302.58,0,260.5846,262.1512,114.58502,113.077286
-21609.756,-65012.63,0,-21638.96,-65157.17,0,258.96173,260.5846,115.25263,114.58502
-19237.459,-68740.49,0,-19121.322,-68903.39,0,263.1478,262.39023,90.23541,96.72695
-19121.322,-68903.39,0,-19008.598,-69086.766,0,262.39023,261.64584,96.72695,101.962776
-15573.273,-68938.97,0,-15441.309,-68837.25,0,294.86185,297.57407,121.7222,121.298805
-15441.309,-68837.25,0,-15289.216,-68768.42,0,297.57407,300.4448,121.298805,119.39365
-15289.216,-68768.42,0,-15120.0625,-68729.48,0,300.4448,303.3643,119.39365,116.52955
-15120.0625,-68729.48,0,-14994.993,-68714.48,0,303.3643,305.92944,116.52955,114.28664
-14994.993,-68714.48,0,-14867.141,-68703.02,0,305.92944,308.46817,114.28664,111.94766
-14867.141,-68703.02,0,-14737.944,-68689.21,0,308.46817,310.97202,111.94766,109.68991
-14737.944,-68689.21,0,-14608.077,-68672.05,0,310.97202,313.41446,109.68991,107.7183
-14608.077,-68672.05,0,-14477.358,-68655.92,0,313.41446,315.76346,107.7183,106.18434
-14477.358,-68655.92,0,-14345.211,-68647.83,0,315.76346,317.9994,106.18434,105.111664
-14345.211,-68647.83,0,-14211.384,-68652.59,0,317.9994,320.1272,105.111664,104.41355
-14211.384,-68652.59,0,-14076.558,-68669.195,0,320.1272,322.16833,104.41355,104.001045
-14076.558,-68669.195,0,-13942.432,-68690.06,0,322.16833,324.13104,104.001045,103.87304
-13942.432,-68690.06,0,-13811.287,-68703.945,0,324.13104,325.98248,103.87304,104.09643
-13811.287,-68703.945,0,-13685.218,-68700.76,0,325.98248,327.65515,104.09643,104.70691
-13685.218,-68700.76,0,-13565.496,-68675.695,0,327.65515,329.08386,104.70691,105.62468
-13565.496,-68675.695,0,-13452.393,-68630.305,0,329.08386,330.23782,105.62468,106.59648
-13452.393,-68630.305,0,-13345.566,-68570.016,0,330.23782,331.12323,106.59648,107.39367
-13345.566,-68570.016,0,-13244.754,-68499.79,0,331.12323,331.75916,107.39367,107.85903
-13244.754,-68499.79,0,-13150.368,-68420.266,0,331.75916,332.15195,107.85903,107.99146
-13150.368,-68420.266,0,-13036.895,-68312.46,0,332.15195,331.60483,107.99146,107.520615
