startX,startY,startZ,endX,endY,endZ,startRadius,endRadius
-47513.176,-107093.71,0,-47674.31,-107188.13,0,410.45963,436.95776
-47374.39,-106977.53,0,-47513.176,-107093.71,0,419.23087,410.45963
-47273.137,-106824.805,0,-47374.39,-106977.53,0,474.08618,419.23087
-47207.863,-106637.04,0,-47273.137,-106824.805,0,560.70264,474.08618
-47159.273,-106433.04,0,-47207.863,-106637.04,0,645.11957,560.70264
-47099.176,-106240.234,0,-47159.273,-106433.04,0,691.9982,645.11957
-47004.426,-106081.17,0,-47099.176,-106240.234,0,684.3547,691.9982
-46868.14,-105962.555,0,-47004.426,-106081.17,0,632.3801,684.3547
-46702.082,-105872.94,0,-46868.14,-105962.555,0,565.95966,632.3801
-46528.863,-105790.29,0,-46702.082,-105872.94,0,515.99347,565.95966
-46368.934,-105694.695,0,-46528.863,-105790.29,0,496.70587,515.99347
-46229.69,-105578.96,0,-46368.934,-105694.695,0,500.1528,496.70587
-46103.09,-105450.914,0,-46229.69,-105578.96,0,505.81082,500.1528
-45998.273,-105369.34,0,-46103.09,-105450.914,0,517.4704,505.81082
-45884.562,-105325.93,0,-45998.273,-105369.34,0,530.4767,517.4704
-45762.016,-105304.01,0,-45884.562,-105325.93,0,516.90375,530.4767
-45630.3,-105281.48,0,-45762.016,-105304.01,0,462.69882,516.90375
-45489.598,-105243.414,0,-45630.3,-105281.48,0,388.77805,462.69882
-45341.19,-105191.37,0,-45489.598,-105243.414,0,343.2919,388.77805
-45187.516,-105143.37,0,-45341.19,-105191.37,0,368.25845,343.2919
-45031.46,-105124.4,0,-45187.516,-105143.37,0,466.05014,368.25845
-44875.44,-105152.42,0,-45031.46,-105124.4,0,593.1588,466.05014
-44720.695,-105227.97,0,-44875.44,-105152.42,0,687.8719,593.1588
-44567.152,-105332.9,0,-44720.695,-105227.97,0,711.5369,687.8719
-44414.11,-105439.125,0,-44567.152,-105332.9,0,672.0346,711.5369
-44261.074,-105522.375,0,-44414.11,-105439.125,0,612.26807,672.0346
-44108.566,-105572.64,0,-44261.074,-105522.375,0,574.4467,612.26807
-43958.188,-105596.15,0,-44108.566,-105572.64,0,569.8249,574.4467
-43812.14,-105607.53,0,-43958.188,-105596.15,0,577.82605,569.8249
-43705.46,-105606.27,0,-43812.14,-105607.53,0,566.7029,577.82605
