2026/09/09 01:06:45.9962	[Generic] [VoxelWorld] gpu.render.command_list_reset total=7 descriptorUploads=6 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=10 renderSequence=9	
2026/09/09 01:06:45.9962	[Generic] [VoxelWorld] gpu.render.command_list_reset total=8 descriptorUploads=7 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=11 renderSequence=10	
2026/09/09 01:06:46.0186	[Generic] [VoxelWorld] gpu.render.command_list_reset total=9 descriptorUploads=8 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=13 renderSequence=12	
2026/09/09 01:06:46.0186	[Generic] [VoxelWorld] gpu.render.command_list_reset total=10 descriptorUploads=9 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=14 renderSequence=13	
2026/09/09 01:06:46.0334	[Generic] [VoxelWorld] gpu.render.command_list_reset total=11 descriptorUploads=10 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=15 renderSequence=14	
2026/09/09 01:06:46.0334	[Generic] [VoxelWorld] gpu.render.command_list_reset total=12 descriptorUploads=11 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=16 renderSequence=15	
2026/09/09 01:06:46.0334	[Generic] [VoxelWorld] gpu.render.command_list_reset total=13 descriptorUploads=12 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=17 renderSequence=16	
2026/09/09 01:06:46.0466	[Generic] [VoxelWorld] gpu.render.command_list_reset total=14 descriptorUploads=13 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=19 renderSequence=18	
2026/09/09 01:06:46.0466	[Generic] [VoxelWorld] gpu.render.command_list_reset total=15 descriptorUploads=14 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=20 renderSequence=19	
2026/09/09 01:06:46.0466	[Generic] [VoxelWorld] gpu.render.command_list_reset total=16 descriptorUploads=15 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=21 renderSequence=20	
2026/09/09 01:06:46.0631	[Generic] [VoxelWorld] gpu.render.command_list_reset total=17 descriptorUploads=16 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=23 renderSequence=22	
