2026/09/09 00:04:32.9857	[Generic] [VoxelWorld] gpu.render.command_list_reset total=5 descriptorUploads=4 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=7 renderSequence=6	
2026/09/09 00:04:32.9857	[Generic] [VoxelWorld] gpu.render.command_list_reset total=6 descriptorUploads=5 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=8 renderSequence=7	
2026/09/09 00:04:32.9857	[Generic] [VoxelWorld] gpu.render.command_list_reset total=7 descriptorUploads=6 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=10 renderSequence=9	
2026/09/09 00:04:32.9991	[Generic] [VoxelWorld] gpu.render.command_list_reset total=8 descriptorUploads=7 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=11 renderSequence=10	
2026/09/09 00:04:32.9991	[Generic] [VoxelWorld] gpu.render.command_list_reset total=9 descriptorUploads=8 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=12 renderSequence=11	
2026/09/09 00:04:33.0136	[Generic] [VoxelWorld] gpu.render.command_list_reset total=10 descriptorUploads=9 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=14 renderSequence=13	
2026/09/09 00:04:33.0136	[Generic] [VoxelWorld] gpu.render.command_list_reset total=11 descriptorUploads=10 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=15 renderSequence=14	
2026/09/09 00:04:33.0136	[Generic] [VoxelWorld] gpu.render.command_list_reset total=12 descriptorUploads=11 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=16 renderSequence=15	
2026/09/09 00:04:33.0277	[Generic] [VoxelWorld] gpu.render.command_list_reset total=13 descriptorUploads=12 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=18 renderSequence=17	
2026/09/09 00:04:33.0277	[Generic] [VoxelWorld] gpu.render.command_list_reset total=14 descriptorUploads=13 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=19 renderSequence=18	
2026/09/09 00:04:33.0277	[Generic] [VoxelWorld] gpu.render.command_list_reset total=15 descriptorUploads=14 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=20 renderSequence=19	
2026/09/09 00:04:33.0469	[Generic] [VoxelWorld] gpu.render.command_list_reset total=16 descriptorUploads=15 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=22 renderSequence=21	
2026/09/09 00:04:33.0469	[Generic] [VoxelWorld] gpu.render.command_list_reset total=17 descriptorUploads=16 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=23 renderSequence=22	
2026/09/09 00:04:33.0631	[Generic] [VoxelWorld] gpu.render.command_list_reset total=18 descriptorUploads=17 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=24 renderSequence=23	
2026/09/09 00:04:33.0755	[Generic] [VoxelWorld] gpu.render.command_list_reset total=19 descriptorUploads=18 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=26 renderSequence=25	
2026/09/09 00:04:33.0755	[Generic] [VoxelWorld] gpu.render.command_list_reset total=20 descriptorUploads=19 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=27 renderSequence=26	
2026/09/09 00:04:33.0978	[Generic] [VoxelWorld] gpu.render.command_list_reset total=21 descriptorUploads=20 arenas=1 visibilityCapacity=512 measurement=False settledCapture=False updateEpoch=28 renderSequence=27	
