startX,startY,startZ,endX,endY,endZ,startRadius,endRadius,startDepth,endDepth
-20341.785,-67814.125,0,-20240.697,-67965.27,0,276.8335,276.07596,51.638187,52.65669
-20414.295,-67635.39,0,-20341.785,-67814.125,0,277.25516,276.8335,51.621056,51.638187
-20476.104,-67446.3,0,-20414.295,-67635.39,0,277.41498,277.25516,52.303932,51.621056
-20549.594,-67268.46,0,-20476.104,-67446.3,0,277.39926,277.41498,53.824245,52.303932
-20650.627,-67117.195,0,-20549.594,-67268.46,0,277.28085,277.39926,56.59976,53.824245
-20781.316,-66994.56,0,-20650.627,-67117.195,0,277.09692,277.28085,60.833344,56.59976
-20930.434,-66889.7,0,-20781.316,-66994.56,0,276.84872,277.09692,66.15094,60.833344
-21081.05,-66786.32,0,-20930.434,-66889.7,0,276.51974,276.84872,71.746346,66.15094
-21220.742,-66672.42,0,-21081.05,-66786.32,0,276.09888,276.51974,76.94408,71.746346
-21348.393,-66546.945,0,-21220.742,-66672.42,0,275.60382,276.09888,81.62843,76.94408
-21427.63,-66447.82,0,-21348.393,-66546.945,0,274.50253,275.60382,84.60374,81.62843
-21486.85,-66340.2,0,-21427.63,-66447.82,0,273.34433,274.50253,87.37216,84.60374
-21534.5,-66225.78,0,-21486.85,-66340.2,0,272.14456,273.34433,90.319046,87.37216
-21578.979,-66106.25,0,-21534.5,-66225.78,0,270.92117,272.14456,93.623955,90.319046
-21623.951,-65982.73,0,-21578.979,-66106.25,0,269.68625,270.92117,97.26161,93.623955
-21666.244,-65855.37,0,-21623.951,-65982.73,0,268.43695,269.68625,101.04788,97.26161
-21697.719,-65723.766,0,-21666.244,-65855.37,0,267.15356,268.43695,104.734436,101.04788
-21710.154,-65587.46,0,-21697.719,-65723.766,0,265.80447,267.15356,108.096115,104.734436
-21700.441,-65446.656,0,-21710.154,-65587.46,0,264.3189,265.80447,110.95251,108.096115
-21673.135,-65302.562,0,-21700.441,-65446.656,0,262.7567,264.3189,113.18316,110.95251
-21638.895,-65157.164,0,-21673.135,-65302.562,0,261.08887,262.7567,114.674736,113.18316
-21609.746,-65012.63,0,-21638.895,-65157.164,0,259.3649,261.08887,115.32493,114.674736
-19237.459,-68740.49,0,-19121.322,-68903.39,0,264.5417,263.68387,90.42976,96.920525
-19121.322,-68903.39,0,-19008.598,-69086.766,0,263.68387,262.84033,96.920525,102.151405
-15573.273,-68938.97,0,-15441.309,-68837.25,0,294.86185,297.57407,121.7222,121.298805
-15441.309,-68837.25,0,-15289.216,-68768.42,0,297.57407,300.4448,121.298805,119.39365
-15289.216,-68768.42,0,-15120.0625,-68729.48,0,300.4448,303.3643,119.39365,116.52955
-15120.0625,-68729.48,0,-14994.993,-68714.48,0,303.3643,305.92944,116.52955,114.28664
-14994.993,-68714.48,0,-14867.141,-68703.02,0,305.92944,308.46817,114.28664,111.94766
-14867.141,-68703.02,0,-14737.944,-68689.21,0,308.46817,310.97202,111.94766,109.68991
-14737.944,-68689.21,0,-14608.077,-68672.05,0,310.97202,313.41446,109.68991,107.7183
-14608.077,-68672.05,0,-14477.358,-68655.92,0,313.41446,315.76346,107.7183,106.18434
-14477.358,-68655.92,0,-14345.211,-68647.83,0,315.76346,317.9994,106.18434,105.111664
-14345.211,-68647.83,0,-14211.384,-68652.59,0,317.9994,320.1272,105.111664,104.41355
-14211.384,-68652.59,0,-14076.558,-68669.195,0,320.1272,322.16833,104.41355,104.001045
-14076.558,-68669.195,0,-13942.432,-68690.06,0,322.16833,324.13104,104.001045,103.87304
-13942.432,-68690.06,0,-13811.287,-68703.945,0,324.13104,325.98248,103.87304,104.09643
-13811.287,-68703.945,0,-13685.218,-68700.76,0,325.98248,327.65515,104.09643,104.70691
-13685.218,-68700.76,0,-13565.496,-68675.695,0,327.65515,329.08386,104.70691,105.62468
-13565.496,-68675.695,0,-13452.393,-68630.305,0,329.08386,330.23782,105.62468,106.59648
-13452.393,-68630.305,0,-13345.566,-68570.016,0,330.23782,331.12323,106.59648,107.39367
-13345.566,-68570.016,0,-13244.754,-68499.79,0,331.12323,331.75916,107.39367,107.85903
-13244.754,-68499.79,0,-13150.368,-68420.266,0,331.75916,332.15195,107.85903,107.99146
-13150.368,-68420.266,0,-13036.895,-68312.46,0,332.15195,331.60483,107.99146,107.520615
-13036.895,-68312.46,0,-12928.937,-68198.74,0,331.60483,330.7752,107.520615,106.55245
-12928.937,-68198.74,0,-12829.798,-68075.64,0,330.7752,329.68805,106.55245,105.39725
-12829.798,-68075.64,0,-12736.523,-67946.266,0,329.68805,328.40613,105.39725,104.157425
-12736.523,-67946.266,0,-12640.755,-67819.56,0,328.40613,326.96683,104.157425,102.64447
-12640.755,-67819.56,0,-12533.096,-67705.51,0,326.96683,325.34085,102.64447,100.58032
-12533.096,-67705.51,0,-12408.462,-67609.51,0,325.34085,323.46307,100.58032,97.907486
-12408.462,-67609.51,0,-12269.309,-67528.984,0,323.46307,321.30722,97.907486,94.97983
-27956.78,-60538.562,0,-27784.695,-60597.785,0,204.11665,203.98146,78.7345,72.32306
-28106.828,-60435.6,0,-27956.78,-60538.562,0,203.84094,204.11665,85.35334,78.7345
-28234.627,-60291.16,0,-28106.828,-60435.6,0,203.18524,203.84094,91.32545,85.35334
-28348.498,-60117.016,0,-28234.627,-60291.16,0,202.23378,203.18524,95.89358,91.32545
-28462.365,-59931.18,0,-28348.498,-60117.016,0,201.11836,202.23378,98.72066,95.89358
-28589.326,-59750.754,0,-28462.365,-59931.18,0,199.97485,201.11836,99.90999,98.72066
-28735.379,-59584.914,0,-28589.326,-59750.754,0,198.86172,199.97485,99.76411,99.90999
-28896.82,-59432.035,0,-28735.379,-59584.914,0,197.7237,198.86172,98.66818,99.76411
-29062.852,-59282.59,0,-28896.82,-59432.035,0,196.4644,197.7237,97.17628,98.66818
-29221.846,-59126.156,0,-29062.852,-59282.59,0,195.05685,196.4644,95.99817,97.17628
-29367.795,-58958.527,0,-29221.846,-59126.156,0,193.57797,195.05685,95.70547,95.99817
-29503.219,-58785.023,0,-29367.795,-58958.527,0,192.14145,193.57797,96.326324,95.70547
-29637.123,-58618.164,0,-29503.219,-58785.023,0,190.79918,192.14145,97.20004,96.326324
-29779.326,-58471.402,0,-29637.123,-58618.164,0,189.49693,190.79918,97.32492,97.20004
-27784.695,-60597.785,0,-27597.277,-60618.223,0,203.98146,203.44981,72.32306,66.850845
-27597.277,-60618.223,0,-27402.04,-60605.742,0,203.44981,202.55711,66.850845,62.816105
-27402.04,-60605.742,0,-27293.826,-60593.51,0,202.55711,203.01895,62.816105,61.1812
-27293.826,-60593.51,0,-27183.982,-60579.008,0,203.01895,203.42148,61.1812,59.787956
-27183.982,-60579.008,0,-27073.988,-60555.062,0,203.42148,203.7357,59.787956,58.787457
-27073.988,-60555.062,0,-26963.854,-60524.695,0,203.7357,203.9863,58.787457,58.05497
-26963.854,-60524.695,0,-26852.322,-60499.92,0,203.9863,204.25452,58.05497,57.26315
-26852.322,-60499.92,0,-26737.852,-60494.754,0,204.25452,204.6391,57.26315,56.06031
-26737.852,-60494.754,0,-26619.865,-60516.355,0,204.6391,205.19792,56.06031,54.27496
-26619.865,-60516.355,0,-26499.55,-60559.62,0,205.19792,205.91425,54.27496,52.057747
-26499.55,-60559.62,0,-26379.676,-60608.246,0,205.91425,206.7081,52.057747,49.839596
-26379.676,-60608.246,0,-26263.562,-60642.004,0,206.7081,207.48096,49.839596,48.05996
-26263.562,-60642.004,0,-26153.777,-60646.098,0,207.48096,208.16495,48.05996,46.92177
-26153.777,-60646.098,0,-26051.215,-60617.363,0,208.16495,208.7554,46.92177,46.411186
-26051.215,-60617.363,0,-25955.164,-60563.99,0,208.7554,209.31215,46.411186,46.430267
-25955.164,-60563.99,0,-25864.203,-60499.098,0,209.31215,209.9225,46.430267,46.849438
-25864.203,-60499.098,0,-25777.45,-60432.09,0,209.9225,210.64749,46.849438,47.56143
-25777.45,-60432.09,0,-25695.373,-60362.793,0,210.64749,211.49548,47.56143,48.6203
