startX,startY,startZ,endX,endY,endZ,startRadius,endRadius
-136564.08,-123510.4,0,-136440.98,-123665.36,0,573.3289,556.20605
-136663.97,-123333.92,0,-136564.08,-123510.4,0,561.426,573.3289
-136749.67,-123144.266,0,-136663.97,-123333.92,0,516.1012,561.426
-136839.02,-122957.91,0,-136749.67,-123144.266,0,448.50748,516.1012
-136950.05,-122791.46,0,-136839.02,-122957.91,0,381.3595,448.50748
-133970.12,-127759.49,0,-134080.7,-127876.38,0,444.15964,463.40707
-134003.66,-127021,0,-133907.62,-127189.52,0,739.37256,761.7631
-133875.03,-127636.06,0,-133970.12,-127759.49,0,482.8351,444.15964
-133907.62,-127189.52,0,-133838.2,-127351.59,0,761.7631,696.5446
-133825.16,-127501.03,0,-133875.03,-127636.06,0,581.9337,482.8351
-133838.2,-127351.59,0,-133825.16,-127501.03,0,696.5446,581.9337
-130651.19,-126798.91,0,-130644.9,-126645.35,0,167.4559,147.91455
-130588.41,-126956.62,0,-130651.19,-126798.91,0,183.54872,167.4559
-130644.9,-126645.35,0,-130580.94,-126497.08,0,147.91455,132.23123
-130580.94,-126497.08,0,-130488.54,-126355.234,0,132.23123,125.309715
-130471.45,-127117.35,0,-130588.41,-126956.62,0,189.99036,183.54872
-129856.055,-128780.68,0,-129986.1,-128676.46,0,137.43886,141.31429
-129986.1,-128676.46,0,-130084.32,-128553.74,0,141.31429,136.66283
-130084.32,-128553.74,0,-130140.664,-128404.22,0,136.66283,131.4852
-130140.664,-128404.22,0,-130157.43,-128231.91,0,131.4852,130.46312
-130157.43,-128231.91,0,-130153.836,-128081.76,0,130.46312,130.63344
-130153.836,-128081.76,0,-130141.55,-127926.69,0,130.63344,132.33762
-130141.55,-127926.69,0,-130133.35,-127767.84,0,132.33762,139.56161
-130133.35,-127767.84,0,-130153.67,-127606.34,0,139.56161,153.3073
-130153.67,-127606.34,0,-130221.586,-127443.36,0,153.3073,170.395
-130221.586,-127443.36,0,-130335.97,-127279.97,0,170.395,184.66183
-130335.97,-127279.97,0,-130471.45,-127117.35,0,184.66183,189.99036
-129713.82,-128884.414,0,-129856.055,-128780.68,0,121.04265,137.43886
-129579.59,-129006.24,0,-129713.82,-128884.414,0,97.0262,121.04265
-129464.07,-129155.14,0,-129579.59,-129006.24,0,77.23381,97.0262
-129363.05,-129325.15,0,-129464.07,-129155.14,0,72.7228,77.23381
