startX,startY,startZ,endX,endY,endZ,startRadius,endRadius
-136564.08,-123510.4,0,-136440.98,-123665.36,0,380.20605,411.65405
-136663.97,-123333.92,0,-136564.08,-123510.4,0,341.70233,380.20605
-136749.67,-123144.266,0,-136663.97,-123333.92,0,325.14456,341.70233
-136839.02,-122957.91,0,-136749.67,-123144.266,0,351.32178,325.14456
-136950.05,-122791.46,0,-136839.02,-122957.91,0,414.15625,351.32178
-133970.12,-127759.49,0,-134080.7,-127876.38,0,387.37674,405.87207
-134003.66,-127021,0,-133907.62,-127189.52,0,568.5011,565.5065
-133875.03,-127636.06,0,-133970.12,-127759.49,0,398.55478,387.37674
-133907.62,-127189.52,0,-133838.2,-127351.59,0,565.5065,515.92993
-133825.16,-127501.03,0,-133875.03,-127636.06,0,447.9377,398.55478
-133838.2,-127351.59,0,-133825.16,-127501.03,0,515.92993,447.9377
-130651.19,-126798.91,0,-130644.9,-126645.35,0,118.45635,103.11824
-130588.41,-126956.62,0,-130651.19,-126798.91,0,135.09868,118.45635
-130644.9,-126645.35,0,-130580.94,-126497.08,0,103.11824,97.13324
-130580.94,-126497.08,0,-130488.54,-126355.234,0,97.13324,101.60049
-130471.45,-127117.35,0,-130588.41,-126956.62,0,143.48372,135.09868
-129856.055,-128780.68,0,-129986.1,-128676.46,0,118.074486,115.82113
-129986.1,-128676.46,0,-130084.32,-128553.74,0,115.82113,111.017265
-130084.32,-128553.74,0,-130140.664,-128404.22,0,111.017265,108.47663
-130140.664,-128404.22,0,-130157.43,-128231.91,0,108.47663,108.71927
-130157.43,-128231.91,0,-130153.836,-128081.76,0,108.71927,108.33274
-130153.836,-128081.76,0,-130141.55,-127926.69,0,108.33274,106.30382
-130141.55,-127926.69,0,-130133.35,-127767.84,0,106.30382,106.60439
-130133.35,-127767.84,0,-130153.67,-127606.34,0,106.60439,113.507065
-130153.67,-127606.34,0,-130221.586,-127443.36,0,113.507065,126.58745
-130221.586,-127443.36,0,-130335.97,-127279.97,0,126.58745,139.37762
-130335.97,-127279.97,0,-130471.45,-127117.35,0,139.37762,143.48372
-129713.82,-128884.414,0,-129856.055,-128780.68,0,112.635345,118.074486
-129579.59,-129006.24,0,-129713.82,-128884.414,0,99.16039,112.635345
-129464.07,-129155.14,0,-129579.59,-129006.24,0,83.65388,99.16039
-129363.05,-129325.15,0,-129464.07,-129155.14,0,74.67888,83.65388
-129260.266,-129498.08,0,-129363.05,-129325.15,0,77.116394,74.67888
-129136.68,-129653.016,0,-129260.266,-129498.08,0,88.57186,77.116394
-128981.44,-129777.26,0,-129136.68,-129653.016,0,101.35514,88.57186
-128798.07,-129872.586,0,-128981.44,-129777.26,0,108.29982,101.35514
-128602.75,-129953.53,0,-128798.07,-129872.586,0,107.58758,108.29982
-128415.88,-130038.86,0,-128602.75,-129953.53,0,102.832726,107.58758
-128251.93,-130141.34,0,-128415.88,-130038.86,0,98.8943,102.832726
-128113.445,-130261.836,0,-128251.93,-130141.34,0,97.46544,98.8943
-128005.87,-130353.86,0,-128113.445,-130261.836,0,96.87243,97.46544
-127887.78,-130432.82,0,-128005.87,-130353.86,0,94.03175,96.87243
-127760.445,-130498.336,0,-127887.78,-130432.82,0,91.439095,94.03175
-127626.04,-130539.414,0,-127760.445,-130498.336,0,93.7843,91.439095
-127487.03,-130542.1,0,-127626.04,-130539.414,0,103.29538,93.7843
-127345.24,-130499.75,0,-127487.03,-130542.1,0,116.543724,103.29538
-127201.21,-130419.63,0,-127345.24,-130499.75,0,125.96078,116.543724
-127054.34,-130321.945,0,-127201.21,-130419.63,0,125.24532,125.96078
-126903.586,-130231.66,0,-127054.34,-130321.945,0,114.30806,125.24532
-126748.48,-130167.31,0,-126903.586,-130231.66,0,99.57737,114.30806
-134068.39,-125585.914,0,-133983.17,-125698.78,0,467.44562,467.84354
-133969.38,-126124.98,0,-134013.05,-126264.43,0,452.27728,436.5627
-133983.17,-125698.78,0,-133935.16,-125827.15,0,467.84354,459.12576
